Age,Baden-Wuerttemberg_Male,Baden-Wuerttemberg_Female,Baden-Wuerttemberg_Total,Bayern_Male,Bayern_Female,Bayern_Total,Berlin_Male,Berlin_Female,Berlin_Total,Brandenburg_Male,Brandenburg_Female,Brandenburg_Total,Bremen_Male,Bremen_Female,Bremen_Total,Hamburg_Male,Hamburg_Female,Hamburg_Total,Hessen_Male,Hessen_Female,Hessen_Total,Mecklenburg-Vorpommern_Male,Mecklenburg-Vorpommern_Female,Mecklenburg-Vorpommern_Total,Niedersachsen_Male,Niedersachsen_Female,Niedersachsen_Total,Nordrhein-Westfalen_Male,Nordrhein-Westfalen_Female,Nordrhein-Westfalen_Total,Rheinland-Pfalz_Male,Rheinland-Pfalz_Female,Rheinland-Pfalz_Total,Saarland_Male,Saarland_Female,Saarland_Total,Sachsen_Male,Sachsen_Female,Sachsen_Total,Sachsen-Anhalt_Male,Sachsen-Anhalt_Female,Sachsen-Anhalt_Total,Schleswig-Holstein_Male,Schleswig-Holstein_Female,Schleswig-Holstein_Total,Th�ringen_Male,Th�ringen_Female,Th�ringen_Total
under 1 year,57332,55412,112744,68709,65286,133995,19578,18493,38071,9891,9403,19294,3454,3277,6731,10422,9934,20356,31752,29640,61392,6062,5841,11903,39334,37086,76420,89514,84551,174065,19776,18906,38682,4252,4108,8360,16721,15737,32458,8277,7705,15982,13094,12362,25456,7929,7416,15345
1 year,56079,52695,108774,66571,63387,129958,19392,18301,37693,10405,9778,20183,3466,3338,6804,10008,9338,19346,30702,28999,59701,6449,5973,12422,38910,36724,75634,88449,83382,171831,19739,18849,38588,4257,4028,8285,17246,16348,33594,8466,8022,16488,12888,12412,25300,8332,7862,16194
2 years,56214,53609,109823,66461,63108,129569,19393,18297,37690,10894,10305,21199,3668,3280,6948,9963,9527,19490,31068,29260,60328,6725,6358,13083,39138,37353,76491,88875,84115,172990,19797,18842,38639,4226,3980,8206,17800,17061,34861,8854,8316,17170,13273,12509,25782,8529,8347,16876
3 years,56934,54181,111115,66405,63228,129633,19290,18415,37705,11626,10883,22509,3515,3411,6926,9981,9438,19419,31701,30061,61762,6983,6636,13619,39750,37493,77243,90697,86069,176766,20236,19330,39566,4295,3995,8290,18634,17753,36387,9163,8782,17945,13715,12963,26678,9109,8662,17771
4 years,56759,54104,110863,66352,63601,129953,19596,18449,38045,12006,11510,23516,3507,3260,6767,10052,9411,19463,31938,30332,62270,7056,6783,13839,39778,38132,77910,91405,85855,177260,20829,19362,40191,4387,4193,8580,19337,18534,37871,9660,9059,18719,13849,13116,26965,9513,9080,18593
5 years,57010,53749,110759,66261,62989,129250,19389,18645,38034,12576,11932,24508,3453,3276,6729,9857,9576,19433,32082,30620,62702,7213,7074,14287,40182,38378,78560,91475,87134,178609,20688,19562,40250,4287,4275,8562,19818,18986,38804,9890,9215,19105,14003,13480,27483,9703,9364,19067
6 years,54617,52691,107308,63875,60825,124700,18653,17441,36094,12231,11418,23649,3441,3142,6583,9417,8992,18409,31332,29445,60777,7457,7085,14542,38973,36661,75634,88497,83500,171997,19854,18775,38629,4328,3930,8258,19831,18567,38398,9594,9191,18785,13650,12905,26555,9868,9211,19079
7 years,54121,50771,104892,62887,59346,122233,18109,17520,35629,12477,11917,24394,3298,3091,6389,9094,8775,17869,30231,29056,59287,7301,6973,14274,39033,36551,75584,87225,82312,169537,19512,18590,38102,4214,3990,8204,19569,18612,38181,9810,9155,18965,13439,13030,26469,9895,9374,19269
8 years,52454,49406,101860,60800,58334,119134,17537,16542,34079,11959,11244,23203,3060,2927,5987,8809,8406,17215,29523,28017,57540,7166,6890,14056,37052,35199,72251,84040,78418,162458,18656,17890,36546,4077,3695,7772,19282,17950,37232,9482,9033,18515,13192,12514,25706,9681,9234,18915
9 years,51677,48949,100626,60857,57337,118194,17525,16547,34072,12091,11575,23666,3059,2867,5926,8692,8173,16865,29555,27779,57334,7311,6853,14164,36957,34969,71926,83886,79366,163252,18662,17431,36093,4044,3822,7866,19153,18220,37373,9542,9073,18615,13434,12677,26111,9691,9081,18772
10 years,50791,48212,99003,58754,55414,114168,16656,15711,32367,11866,11323,23189,2932,2671,5603,8181,7833,16014,29456,27823,57279,7231,6844,14075,36368,34456,70824,81888,77465,159353,18498,17448,35946,4213,3860,8073,18907,17843,36750,9389,8829,18218,12941,12425,25366,9471,8967,18438
11 years,52452,49406,101858,59548,56534,116082,16907,15972,32879,12403,11510,23913,3012,2908,5920,8326,7924,16250,29703,28522,58225,7434,7207,14641,37749,35518,73267,84357,79421,163778,18841,17689,36530,4090,3971,8061,19008,18233,37241,9436,9124,18560,13671,12846,26517,9663,9215,18878
12 years,51853,49141,100994,58809,55608,114417,16495,15696,32191,11958,11314,23272,3150,2837,5987,8293,7663,15956,29584,27819,57403,7271,7071,14342,37407,35092,72499,83353,78426,161779,18497,17276,35773,4112,3921,8033,18642,17449,36091,9410,8867,18277,13569,12618,26187,9112,8934,18046
13 years,52962,50423,103385,60460,57304,117764,16733,15611,32344,12138,11455,23593,3010,2915,5925,8440,7923,16363,30016,28666,58682,7359,7023,14382,38195,36332,74527,86275,80902,167177,19121,17852,36973,4231,4008,8239,18729,17770,36499,9695,9174,18869,13641,13214,26855,9556,8947,18503
14 years,53063,50754,103817,60267,57171,117438,16280,15068,31348,11842,11151,22993,3192,3015,6207,8320,7637,15957,30310,28244,58554,7053,6759,13812,38605,35980,74585,85789,80707,166496,19080,17751,36831,4190,3916,8106,18199,17192,35391,9365,8796,18161,14004,13092,27096,9381,8695,18076
15 years,52718,49962,102680,59455,55854,115309,15343,14770,30113,11285,10577,21862,3140,2895,6035,8266,7479,15745,29438,27909,57347,6927,6491,13418,38188,35771,73959,84917,79763,164680,18690,17302,35992,4228,3785,8013,17311,16447,33758,9148,8228,17376,13769,12913,26682,8895,8154,17049
16 years,53852,51056,104908,60576,56919,117495,15243,14292,29535,11102,10402,21504,3210,2767,5977,8243,7604,15847,30352,28283,58635,6580,6426,13006,38838,36540,75378,86659,80782,167441,18850,17864,36714,4294,4016,8310,17297,16465,33762,8975,8581,17556,13774,12971,26745,8871,8373,17244
17 years,55257,51609,106866,61439,58842,120281,15295,14439,29734,11334,10462,21796,3198,2901,6099,8183,7690,15873,30800,28740,59540,6988,6592,13580,40057,37968,78025,88368,82895,171263,19545,17992,37537,4401,4049,8450,17507,16633,34140,8995,8417,17412,14370,13473,27843,9237,8573,17810
18 years,56528,52306,108834,63083,59659,122742,14966,14491,29457,11049,9984,21033,3258,3120,6378,8333,7805,16138,30928,28867,59795,6850,6458,13308,40627,38553,79180,89814,83432,173246,19778,18548,38326,4417,4093,8510,17162,16536,33698,8884,8191,17075,14395,13608,28003,8923,8304,17227
19 years,58858,54448,113306,66141,61457,127598,15818,15302,31120,10597,9619,20216,3398,3172,6570,8475,8465,16940,32055,29434,61489,6869,6337,13206,42493,39697,82190,92835,86338,179173,20181,19032,39213,4627,4202,8829,17496,16761,34257,9348,8323,17671,14711,13785,28496,9093,8339,17432
20 years,61394,56416,117810,70173,63814,133987,16647,16776,33423,10557,9180,19737,3872,3676,7548,9184,9213,18397,33389,30783,64172,7077,6540,13617,43836,40545,84381,96969,90220,187189,21178,19490,40668,4808,4302,9110,18449,17039,35488,9589,8741,18330,15119,14188,29307,9460,8811,18271
21 years,65442,60314,125756,74576,68139,142715,18626,18511,37137,10732,9562,20294,4230,4051,8281,10437,10143,20580,35515,33179,68694,7414,6766,14180,46686,42114,88800,103229,95352,198581,22511,20743,43254,5098,4526,9624,19636,18020,37656,10274,8858,19132,16104,14846,30950,9797,8856,18653
22 years,68412,60915,129327,78690,69676,148366,19548,19766,39314,10640,8961,19601,4598,4245,8843,11080,10795,21875,37090,33576,70666,7053,6385,13438,47499,42190,89689,105812,96851,202663,22975,21039,44014,5267,4821,10088,19408,17386,36794,10131,8484,18615,16815,14716,31531,9789,8378,18167
23 years,70489,63041,133530,82413,73487,155900,20847,21318,42165,10204,8721,18925,5121,4186,9307,11888,11948,23836,38434,35032,73466,6876,6271,13147,48310,43633,91943,109038,100199,209237,23610,21702,45312,5380,4769,10149,18751,17250,36001,9519,8465,17984,16374,14956,31330,9598,8302,17900
24 years,73848,65857,139705,85641,76948,162589,23353,23259,46612,9878,8446,18324,4991,4524,9515,13058,13120,26178,41287,37077,78364,6980,6258,13238,50348,45317,95665,114745,104984,219729,25108,22771,47879,5751,5198,10949,18948,17305,36253,9836,8398,18234,17111,15318,32429,9688,8331,18019
25 years,73405,65876,139281,84947,77296,162243,24437,24776,49213,9443,8186,17629,4996,4522,9518,13450,13661,27111,40328,36724,77052,6706,5886,12592,49567,44491,94058,114338,105569,219907,25107,22309,47416,5769,5318,11087,18430,16836,35266,9272,7960,17232,16655,15397,32052,9033,7905,16938
26 years,72762,65261,138023,84457,77265,161722,25553,25956,51509,8683,7690,16373,4839,4572,9411,13502,13931,27433,39865,36293,76158,6010,5477,11487,48586,43487,92073,112471,103886,216357,24356,21941,46297,5756,5157,10913,17519,15488,33007,8674,7345,16019,16270,14865,31135,8596,7244,15840
27 years,73527,66316,139843,85437,78579,164016,26819,27010,53829,8446,7548,15994,5021,4534,9555,14351,14551,28902,40122,37230,77352,5728,5120,10848,48992,44188,93180,114398,105927,220325,24799,22720,47519,5764,5405,11169,17048,14963,32011,8230,7068,15298,16612,15004,31616,7904,6847,14751
28 years,75250,68434,143684,89018,82142,171160,28025,28268,56293,8281,7649,15930,4992,4607,9599,14680,14999,29679,40827,38100,78927,5882,5268,11150,50057,44996,95053,117125,109976,227101,25861,23488,49349,6069,5381,11450,17172,15141,32313,8241,7282,15523,16706,15532,32238,8133,7051,15184
29 years,76458,68998,145456,89456,84025,173481,29037,28922,57959,8915,8336,17251,4967,4574,9541,14913,14973,29886,41142,38356,79498,6309,5873,12182,49925,45474,95399,117868,110891,228759,25942,24118,50060,6141,5716,11857,17351,15801,33152,8638,7786,16424,16886,15731,32617,8428,7586,16014
30 years,77388,71334,148722,92221,84729,176950,30730,29945,60675,9973,9848,19821,5111,4625,9736,15419,15413,30832,41843,39772,81615,6957,6576,13533,50429,46452,96881,119314,113336,232650,26759,24550,51309,6310,5717,12027,19771,18064,37835,9579,8658,18237,17337,16305,33642,9455,8491,17946
31 years,81234,74640,155874,96314,89067,185381,34655,33882,68537,14531,14220,28751,5377,4602,9979,16298,16209,32507,44008,41684,85692,10180,9673,19853,52896,48565,101461,123887,117265,241152,27703,25493,53196,6480,5935,12415,27638,25073,52711,13776,12156,25932,18341,17235,35576,13245,11892,25137
32 years,79264,72658,151922,93277,87438,180715,34604,33894,68498,15622,15325,30947,5072,4785,9857,15788,15738,31526,43534,41177,84711,10791,10123,20914,51768,47726,99494,119379,114428,233807,27037,25121,52158,6336,5806,12142,28760,25861,54621,14018,12822,26840,17836,17038,34874,13363,12316,25679
33 years,80674,73872,154546,95279,88866,184145,34681,33899,68580,16550,15996,32546,5171,4755,9926,15968,15819,31787,43902,41477,85379,11338,10523,21861,52815,49113,101928,121428,116381,237809,27703,25771,53474,6422,5964,12386,29226,26749,55975,14679,13362,28041,18548,17354,35902,14416,13078,27494
34 years,77396,71397,148793,92396,85945,178341,34047,32498,66545,16807,16655,33462,4833,4573,9406,15333,14967,30300,42362,40660,83022,11553,10737,22290,51478,48382,99860,118562,113521,232083,26714,25453,52167,6285,5884,12169,29683,27133,56816,14582,13501,28083,18166,17156,35322,14658,13238,27896
35 years,76160,71526,147686,90935,85751,176686,32693,31261,63954,16560,16402,32962,4773,4492,9265,14764,14512,29276,41560,40190,81750,11116,10423,21539,50151,47739,97890,114971,112445,227416,26259,24999,51258,6202,5781,11983,28303,26177,54480,14241,13078,27319,17424,17003,34427,14345,12746,27091
36 years,73571,69139,142710,86948,82652,169600,31669,30074,61743,17210,16542,33752,4577,4287,8864,14088,14170,28258,40208,38673,78881,10961,10405,21366,47665,46670,94335,110466,108688,219154,25195,24128,49323,5925,5525,11450,28725,25931,54656,14235,12771,27006,16676,16665,33341,14178,12716,26894
37 years,72976,69101,142077,86238,82904,169142,30648,28732,59380,16780,16386,33166,4348,4212,8560,14027,13860,27887,40110,39546,79656,10863,10119,20982,47316,45775,93091,109485,107937,217422,25106,24255,49361,5772,5552,11324,27883,25601,53484,14183,12874,27057,16657,16759,33416,14300,12728,27028
38 years,71622,69193,140815,86820,83330,170150,29317,28124,57441,17113,16513,33626,4476,4348,8824,13535,13783,27318,39620,39444,79064,10983,10119,21102,47347,46671,94018,109329,108646,217975,24996,24379,49375,5872,5568,11440,28184,25610,53794,14337,12832,27169,16941,17028,33969,14277,12866,27143
39 years,73095,70778,143873,87751,86046,173797,29358,27850,57208,17398,16601,33999,4492,4439,8931,13622,13713,27335,40644,40708,81352,11191,10169,21360,47830,47678,95508,111591,111349,222940,25573,24912,50485,5986,5722,11708,28700,25514,54214,14259,12689,26948,17292,17879,35171,14785,13009,27794
40 years,72260,70621,142881,86896,86035,172931,28259,27465,55724,17140,16406,33546,4384,4132,8516,13448,14005,27453,39925,41128,81053,10831,9841,20672,47597,48006,95603,109547,110946,220493,25512,25354,50866,5983,5563,11546,27880,24798,52678,14130,12518,26648,17166,17815,34981,14255,12727,26982
41 years,72512,71277,143789,86162,85568,171730,27691,26441,54132,17883,16899,34782,4303,4104,8407,13401,13800,27201,40657,41182,81839,10914,10149,21063,47589,48603,96192,109643,112160,221803,24741,25044,49785,5928,5685,11613,28385,25497,53882,14339,12841,27180,17379,18198,35577,14612,13043,27655
42 years,67781,67608,135389,82479,81963,164442,25658,24710,50368,17177,16082,33259,4134,3823,7957,12636,12855,25491,38833,39706,78539,10892,9690,20582,45653,46245,91898,103290,106694,209984,23927,23911,47838,5432,5632,11064,27458,24189,51647,13751,12181,25932,16518,17265,33783,14028,12434,26462
43 years,66301,65789,132090,80952,81026,161978,24646,23510,48156,16948,16177,33125,4090,3864,7954,12572,12437,25009,38434,39233,77667,10661,9597,20258,45574,45906,91480,102073,105146,207219,23688,23554,47242,5173,5445,10618,27256,24418,51674,13568,12204,25772,16725,17091,33816,13492,12033,25525
